"source","package","command"
"CRAN","Seurat","install.packages(""Seurat"")"
"CRAN","SeuratObject","install.packages(""SeuratObject"")"
"CRAN","patchwork","install.packages(""patchwork"")"
"CRAN","ggplot2","install.packages(""ggplot2"")"
"CRAN","dplyr","install.packages(""dplyr"")"
"CRAN","remotes","install.packages(""remotes"")"
"Optional CRAN","Signac","install.packages(""Signac"")"
"GitHub","satijalab/seurat-data","remotes::install_github(""satijalab/seurat-data"")"
"GitHub","satijalab/azimuth","remotes::install_github(""satijalab/azimuth"")"
"GitHub","satijalab/seurat-wrappers","remotes::install_github(""satijalab/seurat-wrappers"")"
"Bioconductor","SingleCellExperiment","BiocManager::install(""SingleCellExperiment"")"
"Bioconductor","scater","BiocManager::install(""scater"")"
"Bioconductor","scran","BiocManager::install(""scran"")"
"Bioconductor","scuttle","BiocManager::install(""scuttle"")"
"Bioconductor","SingleR","BiocManager::install(""SingleR"")"
"Bioconductor","celldex","BiocManager::install(""celldex"")"
"Bioconductor","glmGamPoi","BiocManager::install(""glmGamPoi"")"
