"source","package","command"
"CRAN","tidyverse","install.packages(""tidyverse"")"
"CRAN","pheatmap","install.packages(""pheatmap"")"
"CRAN","ggrepel","install.packages(""ggrepel"")"
"CRAN","RColorBrewer","install.packages(""RColorBrewer"")"
"CRAN","openxlsx","install.packages(""openxlsx"")"
"Bioconductor","DESeq2","BiocManager::install(""DESeq2"")"
"Bioconductor","edgeR","BiocManager::install(""edgeR"")"
"Bioconductor","limma","BiocManager::install(""limma"")"
"Bioconductor","tximport","BiocManager::install(""tximport"")"
"Bioconductor","clusterProfiler","BiocManager::install(""clusterProfiler"")"
"Bioconductor","org.Hs.eg.db","BiocManager::install(""org.Hs.eg.db"")"
"Bioconductor","AnnotationDbi","BiocManager::install(""AnnotationDbi"")"
"Bioconductor","EnhancedVolcano","BiocManager::install(""EnhancedVolcano"")"
